activity,model,experiment,ensemble_member,timestep,grid_type,file,year,time,tgav
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2015,2015-07-01 17:00:00,288.4673344975071
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2016,2016-07-01 14:00:00,288.55903493234223
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2017,2017-07-01 17:00:00,288.53590084797946
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2018,2018-07-01 17:00:00,288.62205597804285
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2019,2019-07-01 17:00:00,288.6781079435627
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2020,2020-07-01 14:00:00,288.7872073062728
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2021,2021-07-01 17:00:00,288.8571205148731
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2022,2022-07-01 17:00:00,288.9536822591002
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2023,2023-07-01 17:00:00,289.01260545428903
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2024,2024-07-01 14:00:00,288.8943064252206
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2025,2025-07-01 17:00:00,288.87508407969136
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2026,2026-07-01 17:00:00,289.0216346138981
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2027,2027-07-01 17:00:00,288.9351242672875
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2028,2028-07-01 14:00:00,288.97718604513494
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2029,2029-07-01 17:00:00,289.033348714175
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2030,2030-07-01 17:00:00,289.1391333523977
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2031,2031-07-01 17:00:00,289.30007139871486
ScenarioMIP,ACCESS-ESM1-5,ssp126,r6i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r6i1p1f1/Amon/tas/gn/v20200908/,2032,2032-07-01 14:00:00,289.33499515879066
