,activity,model,experiment,ensemble_member,timestep,grid_type,file,year,tgav
0,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1850,286.57551292339025
1,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1851,286.7897879703138
2,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1852,286.6985349964578
3,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1853,286.6972207406934
4,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1854,286.5897765366438
5,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1855,286.4920542354277
6,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1856,286.56733386101627
7,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1857,286.6655921975128
8,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1858,286.7604551836069
9,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1859,286.5832041895692
10,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1860,286.5506733064402
11,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1861,286.5985871361517
12,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1862,286.5237517974322
13,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1863,286.5355967551491
14,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1864,286.4824847662655
15,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1865,286.5913504146617
16,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1866,286.5444587621382
17,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1867,286.64243565880776
18,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1868,286.48872562211477
19,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1869,286.6035694049759
20,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1870,286.702306116889
21,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1871,286.78685949242555
22,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1872,286.663406375482
23,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1873,286.5929616510368
24,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1874,286.4564459861526
25,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1875,286.55615883989884
26,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1876,286.68095517319165
27,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1877,286.814292861505
28,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1878,286.736996640404
29,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1879,286.6873266378707
30,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1880,286.6290153277091
31,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1881,286.6189790916622
32,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1882,286.62884965221014
33,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1883,286.5572819027105
34,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1884,286.28388752753335
35,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1885,286.3352053631893
36,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1886,286.49764077773807
37,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1887,286.6828571014035
38,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1888,286.6294084271556
39,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1889,286.5465219097645
40,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1890,286.53675164157397
41,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1891,286.3681957654099
42,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1892,286.4972530122612
43,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1893,286.6904523556014
44,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1894,286.6578893580814
45,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1895,286.5965270800525
46,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1896,286.6571688573055
47,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1897,286.7056944941679
48,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1898,286.81008228563286
49,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1899,286.62879416481746
50,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1900,286.76059392947826
51,CMIP,CanESM5,historical,r25i1p1f1,Amon,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r25i1p1f1/Amon/tas/gn/,1901,286.84333810614004
