,activity,model,experiment,ensemble_member,timestep,grid_type,file,year,tgav
0,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1850,287.0208094962242
1,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1851,287.00306825592855
2,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1852,286.77938877205486
3,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1853,286.7143242533909
4,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1854,286.88490805707585
5,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1855,287.0690057693524
6,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1856,286.83344436293027
7,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1857,286.72865828581456
8,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1858,286.96607155351734
9,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1859,287.0771084314833
10,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1860,287.08955666204497
11,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1861,286.76257553005325
12,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1862,286.7775237862813
13,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1863,286.93312640947903
14,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1864,286.7227024681336
15,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1865,286.57917128792985
16,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1866,286.7481267611008
17,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1867,286.99072997528316
18,CMIP,GISS-E2-1-G,historical,r2i1p1f3,Amon,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f3/Amon/tas/gn/,1868,286.99346444658363
