,activity,model,experiment,ensemble_member,timestep,grid_type,file,year,tgav
0,CMIP,MIROC6,historical,r10i1p1f1,Amon,gn,gs://cmip6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/tas/gn/,1850,288.3566959410191
1,CMIP,MIROC6,historical,r10i1p1f1,Amon,gn,gs://cmip6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/tas/gn/,1851,288.5534509385228
2,CMIP,MIROC6,historical,r10i1p1f1,Amon,gn,gs://cmip6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/tas/gn/,1852,288.6852919318613
3,CMIP,MIROC6,historical,r10i1p1f1,Amon,gn,gs://cmip6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/tas/gn/,1853,288.3339344376673
4,CMIP,MIROC6,historical,r10i1p1f1,Amon,gn,gs://cmip6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/tas/gn/,1854,288.29366095928225
5,CMIP,MIROC6,historical,r10i1p1f1,Amon,gn,gs://cmip6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/tas/gn/,1855,288.2985504513367
6,CMIP,MIROC6,historical,r10i1p1f1,Amon,gn,gs://cmip6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/tas/gn/,1856,288.5136017104029
7,CMIP,MIROC6,historical,r10i1p1f1,Amon,gn,gs://cmip6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/tas/gn/,1857,288.7601606038484
8,CMIP,MIROC6,historical,r10i1p1f1,Amon,gn,gs://cmip6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/tas/gn/,1858,288.6995282822971
9,CMIP,MIROC6,historical,r10i1p1f1,Amon,gn,gs://cmip6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/tas/gn/,1859,288.4207899646556
10,CMIP,MIROC6,historical,r10i1p1f1,Amon,gn,gs://cmip6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/tas/gn/,1860,288.5610124712702
11,CMIP,MIROC6,historical,r10i1p1f1,Amon,gn,gs://cmip6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/tas/gn/,1861,288.55340148099816
12,CMIP,MIROC6,historical,r10i1p1f1,Amon,gn,gs://cmip6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/tas/gn/,1862,288.40788768276025
13,CMIP,MIROC6,historical,r10i1p1f1,Amon,gn,gs://cmip6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/tas/gn/,1863,288.3215390699016
