,activity,model,experiment,ensemble_member,timestep,grid_type,file,year,tgav
0,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2015,289.3272782808068
1,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2016,289.5736205947694
2,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2017,289.27839400111856
3,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2018,289.09417827601044
4,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2019,289.1133584082747
5,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2020,289.34279162404385
6,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2021,289.4960074761605
7,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2022,289.4862423395321
8,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2023,289.3771649031122
9,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2024,289.5417937882908
10,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2025,289.86817321548915
11,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2026,289.89351701373806
12,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2027,289.40457381254305
13,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2028,289.42377721498866
14,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2029,289.4665731352921
15,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2030,289.6672155366748
16,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2031,289.9396926374606
17,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2032,289.88506262869447
18,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2033,289.75701618330487
19,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2034,289.82835059307484
20,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2035,289.9530175813761
21,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2036,289.5677481095102
22,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2037,289.3109810165073
23,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2038,289.6003286204823
24,ScenarioMIP,MIROC6,ssp245,r6i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC6/ssp245/r6i1p1f1/Amon/tas/gn/,2039,289.82376323788475
