activity,model,experiment,ensemble_member,timestep,grid_type,file,year,time,tgav
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2015,2015-07-01 17:00:00,289.04192168043545
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2016,2016-07-01 14:00:00,289.05826174958867
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2017,2017-07-01 17:00:00,289.1114775174777
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2018,2018-07-01 17:00:00,289.2735421570448
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2019,2019-07-01 17:00:00,289.41211859889785
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2020,2020-07-01 14:00:00,289.50798235246947
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2021,2021-07-01 17:00:00,289.3951970405205
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2022,2022-07-01 17:00:00,289.2388406275283
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2023,2023-07-01 17:00:00,289.4606205052876
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2024,2024-07-01 14:00:00,289.67889434261184
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2025,2025-07-01 17:00:00,289.303120031358
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2026,2026-07-01 17:00:00,289.2860373765083
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2027,2027-07-01 17:00:00,289.3732718527991
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2028,2028-07-01 14:00:00,289.51279777157305
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2029,2029-07-01 17:00:00,289.84293092746236
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2030,2030-07-01 17:00:00,289.94429886558595
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2031,2031-07-01 17:00:00,289.77522310958557
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2032,2032-07-01 14:00:00,289.63013635794476
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2033,2033-07-01 17:00:00,289.7806794297854
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2034,2034-07-01 17:00:00,289.87672538328303
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2035,2035-07-01 17:00:00,289.9580324412946
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2036,2036-07-01 14:00:00,290.0508596173048
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2037,2037-07-01 17:00:00,289.87037716148797
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2038,2038-07-01 17:00:00,289.9711887158531
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2039,2039-07-01 17:00:00,290.140008076062
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2040,2040-07-01 14:00:00,290.1075916755505
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2041,2041-07-01 17:00:00,289.8944753372206
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2042,2042-07-01 17:00:00,289.7999447784761
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2043,2043-07-01 17:00:00,289.9042845381303
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2044,2044-07-01 14:00:00,290.20086079227985
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2045,2045-07-01 17:00:00,290.3952630161054
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2046,2046-07-01 17:00:00,290.12674817876183
ScenarioMIP,MIROC6,ssp585,r24i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp585/r24i1p1f1/Amon/tas/gn/v20200623/,2047,2047-07-01 17:00:00,290.2123510166295
