activity,model,experiment,ensemble_member,timestep,grid_type,file,year,time,tgav
CMIP,MPI-ESM1-2-LR,historical,r4i1p1f1,Amon,gn,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/historical/r4i1p1f1/Amon/tas/gn/v20190710/,1850,1850-07-01 17:00:00,286.6171118838799
CMIP,MPI-ESM1-2-LR,historical,r4i1p1f1,Amon,gn,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/historical/r4i1p1f1/Amon/tas/gn/v20190710/,1851,1851-07-01 17:00:00,286.8445013823596
CMIP,MPI-ESM1-2-LR,historical,r4i1p1f1,Amon,gn,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/historical/r4i1p1f1/Amon/tas/gn/v20190710/,1852,1852-07-01 14:00:00,286.69929740454484
CMIP,MPI-ESM1-2-LR,historical,r4i1p1f1,Amon,gn,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/historical/r4i1p1f1/Amon/tas/gn/v20190710/,1853,1853-07-01 17:00:00,286.63162019589316
CMIP,MPI-ESM1-2-LR,historical,r4i1p1f1,Amon,gn,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/historical/r4i1p1f1/Amon/tas/gn/v20190710/,1854,1854-07-01 17:00:00,286.5804825251662
CMIP,MPI-ESM1-2-LR,historical,r4i1p1f1,Amon,gn,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/historical/r4i1p1f1/Amon/tas/gn/v20190710/,1855,1855-07-01 17:00:00,286.56506936452007
CMIP,MPI-ESM1-2-LR,historical,r4i1p1f1,Amon,gn,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/historical/r4i1p1f1/Amon/tas/gn/v20190710/,1856,1856-07-01 14:00:00,286.5707557384881
CMIP,MPI-ESM1-2-LR,historical,r4i1p1f1,Amon,gn,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/historical/r4i1p1f1/Amon/tas/gn/v20190710/,1857,1857-07-01 17:00:00,286.61015835084197
CMIP,MPI-ESM1-2-LR,historical,r4i1p1f1,Amon,gn,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/historical/r4i1p1f1/Amon/tas/gn/v20190710/,1858,1858-07-01 17:00:00,286.4601120133015
CMIP,MPI-ESM1-2-LR,historical,r4i1p1f1,Amon,gn,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/historical/r4i1p1f1/Amon/tas/gn/v20190710/,1859,1859-07-01 17:00:00,286.55818161367637
CMIP,MPI-ESM1-2-LR,historical,r4i1p1f1,Amon,gn,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/historical/r4i1p1f1/Amon/tas/gn/v20190710/,1860,1860-07-01 14:00:00,286.7486482043493
