,activity,model,experiment,ensemble_member,timestep,grid_type,file,year,tgav
0,ScenarioMIP,MPI-ESM1-2-LR,ssp245,r9i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r9i1p1f1/Amon/tas/gn/,2035,288.4685682588421
1,ScenarioMIP,MPI-ESM1-2-LR,ssp245,r9i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r9i1p1f1/Amon/tas/gn/,2036,288.3329365513794
2,ScenarioMIP,MPI-ESM1-2-LR,ssp245,r9i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r9i1p1f1/Amon/tas/gn/,2037,288.09686683672606
3,ScenarioMIP,MPI-ESM1-2-LR,ssp245,r9i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r9i1p1f1/Amon/tas/gn/,2038,288.0716295449625
4,ScenarioMIP,MPI-ESM1-2-LR,ssp245,r9i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r9i1p1f1/Amon/tas/gn/,2039,288.1902447317313
5,ScenarioMIP,MPI-ESM1-2-LR,ssp245,r9i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r9i1p1f1/Amon/tas/gn/,2040,288.17864512948717
6,ScenarioMIP,MPI-ESM1-2-LR,ssp245,r9i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r9i1p1f1/Amon/tas/gn/,2041,288.3552149719605
7,ScenarioMIP,MPI-ESM1-2-LR,ssp245,r9i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r9i1p1f1/Amon/tas/gn/,2042,288.4148529259605
8,ScenarioMIP,MPI-ESM1-2-LR,ssp245,r9i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r9i1p1f1/Amon/tas/gn/,2043,288.4986996959965
9,ScenarioMIP,MPI-ESM1-2-LR,ssp245,r9i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r9i1p1f1/Amon/tas/gn/,2044,288.30462238319376
10,ScenarioMIP,MPI-ESM1-2-LR,ssp245,r9i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r9i1p1f1/Amon/tas/gn/,2045,288.3662407659485
11,ScenarioMIP,MPI-ESM1-2-LR,ssp245,r9i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r9i1p1f1/Amon/tas/gn/,2046,288.45266702237393
12,ScenarioMIP,MPI-ESM1-2-LR,ssp245,r9i1p1f1,Amon,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r9i1p1f1/Amon/tas/gn/,2047,288.4639846829938
