activity,model,experiment,ensemble_member,timestep,grid_type,file,year,time,tgav
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2015,2015-07-01 17:00:00,287.65459182302095
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2016,2016-07-01 14:00:00,287.78807509308257
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2017,2017-07-01 17:00:00,287.9466379233906
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2018,2018-07-01 17:00:00,288.02938384719135
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2019,2019-07-01 17:00:00,287.7820895395893
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2020,2020-07-01 14:00:00,287.8012349633964
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2021,2021-07-01 17:00:00,287.6983786490827
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2022,2022-07-01 17:00:00,287.86775125480466
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2023,2023-07-01 17:00:00,287.9979507176901
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2024,2024-07-01 14:00:00,287.9612543933541
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2025,2025-07-01 17:00:00,288.10120525285885
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2026,2026-07-01 17:00:00,287.99317556367083
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2027,2027-07-01 17:00:00,288.0071788956162
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2028,2028-07-01 14:00:00,288.0813801975762
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2029,2029-07-01 17:00:00,288.22111289016
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2030,2030-07-01 17:00:00,288.1477669146288
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2031,2031-07-01 17:00:00,288.1821675278047
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2032,2032-07-01 14:00:00,288.2018910003215
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2033,2033-07-01 17:00:00,288.23349594361633
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2034,2034-07-01 17:00:00,288.24792786782956
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2035,2035-07-01 17:00:00,288.17602893172904
ScenarioMIP,MPI-ESM1-2-LR,ssp585,r5i1p1f1,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp585/r5i1p1f1/Amon/tas/gn/v20190710/,2036,2036-07-01 14:00:00,288.24955946469896
