activity,model,experiment,ensemble_member,timestep,grid_type,file,year,time,tgav
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2015,2015-07-01 00:00:00,287.6461930798525
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2016,2016-07-01 00:00:00,287.47977136798005
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2017,2017-07-01 00:00:00,287.64350130282804
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2018,2018-07-01 00:00:00,287.70156300460474
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2019,2019-07-01 00:00:00,287.860784436898
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2020,2020-07-01 00:00:00,287.80857921763703
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2021,2021-07-01 00:00:00,287.8765161235527
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2022,2022-07-01 00:00:00,287.80032404161807
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2023,2023-07-01 00:00:00,287.88243464918224
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2024,2024-07-01 00:00:00,288.0493476751216
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2025,2025-07-01 00:00:00,287.96014044545615
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2026,2026-07-01 00:00:00,288.17581186950446
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2027,2027-07-01 00:00:00,288.21609308405436
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2028,2028-07-01 00:00:00,288.1044321429231
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2029,2029-07-01 00:00:00,288.22796580140766
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2030,2030-07-01 00:00:00,288.2175810512449
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2031,2031-07-01 00:00:00,288.1423803225233
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2032,2032-07-01 00:00:00,288.3138570003516
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2033,2033-07-01 00:00:00,288.41488814318535
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2034,2034-07-01 00:00:00,288.5946588348597
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2035,2035-07-01 00:00:00,288.4395672751662
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2036,2036-07-01 00:00:00,288.4732513877061
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2037,2037-07-01 00:00:00,288.5824188304786
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2038,2038-07-01 00:00:00,288.71068104919806
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2039,2039-07-01 00:00:00,288.589669387379
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2040,2040-07-01 00:00:00,288.6616954928061
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2041,2041-07-01 00:00:00,288.70247394630104
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2042,2042-07-01 00:00:00,288.81088271916923
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2043,2043-07-01 00:00:00,288.85510928164894
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2044,2044-07-01 00:00:00,288.73543535758154
ScenarioMIP,UKESM1-0-LL,ssp126,r3i1p1f2,Amon,gn,gs://cmip6/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126/r3i1p1f2/Amon/tas/gn/v20190507/,2045,2045-07-01 00:00:00,288.7339049234326
