,activity,model,experiment,ensemble_member,timestep,grid_type,file,year,tgav
0,ScenarioMIP,UKESM1-0-LL,ssp245,r2i1p1f2,Amon,gn,gs://cmip6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp245/r2i1p1f2/Amon/tas/gn/,2015,287.5035355627413
1,ScenarioMIP,UKESM1-0-LL,ssp245,r2i1p1f2,Amon,gn,gs://cmip6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp245/r2i1p1f2/Amon/tas/gn/,2016,287.5617902202079
2,ScenarioMIP,UKESM1-0-LL,ssp245,r2i1p1f2,Amon,gn,gs://cmip6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp245/r2i1p1f2/Amon/tas/gn/,2017,287.55609295988916
3,ScenarioMIP,UKESM1-0-LL,ssp245,r2i1p1f2,Amon,gn,gs://cmip6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp245/r2i1p1f2/Amon/tas/gn/,2018,287.7970875328617
4,ScenarioMIP,UKESM1-0-LL,ssp245,r2i1p1f2,Amon,gn,gs://cmip6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp245/r2i1p1f2/Amon/tas/gn/,2019,287.7791850335779
5,ScenarioMIP,UKESM1-0-LL,ssp245,r2i1p1f2,Amon,gn,gs://cmip6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp245/r2i1p1f2/Amon/tas/gn/,2020,287.8200886631954
6,ScenarioMIP,UKESM1-0-LL,ssp245,r2i1p1f2,Amon,gn,gs://cmip6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp245/r2i1p1f2/Amon/tas/gn/,2021,287.8006131623547
7,ScenarioMIP,UKESM1-0-LL,ssp245,r2i1p1f2,Amon,gn,gs://cmip6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp245/r2i1p1f2/Amon/tas/gn/,2022,287.76842681400205
8,ScenarioMIP,UKESM1-0-LL,ssp245,r2i1p1f2,Amon,gn,gs://cmip6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp245/r2i1p1f2/Amon/tas/gn/,2023,288.05732189336874
9,ScenarioMIP,UKESM1-0-LL,ssp245,r2i1p1f2,Amon,gn,gs://cmip6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp245/r2i1p1f2/Amon/tas/gn/,2024,288.206851798254
